"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-06-11 16:00:00 17.5220422234341 NA NA 8.19508336149286
2017-06-11 17:00:00 21.3760636592587 NA NA 8.73537921100123
2017-06-11 18:00:00 18.0276009802297 NA NA 5.90536303525275
2017-06-11 19:00:00 15.7006946949966 NA NA 8.40659996377469
2017-06-11 20:00:00 7.100780062553 NA NA 10.7994736451413
2017-06-11 21:00:00 7.59375313709445 NA NA 6.48817335389199
2017-06-11 22:00:00 6.71327851376332 NA NA 7.62767946891527
2017-06-11 23:00:00 7.27326482545969 NA NA 9.29119027145932
2017-06-12 00:00:00 5.97324975262411 NA NA 6.61835181463613
2017-06-12 01:00:00 5.94471518456395 NA NA 8.34296427865003
2017-06-12 02:00:00 6.53129573083414 NA NA 7.27733849921292
2017-06-12 03:00:00 6.14426295560155 NA NA 9.0109035886277
2017-06-12 04:00:00 6.50631395150881 NA NA 8.98973297696934
2017-06-12 05:00:00 6.66124387016666 NA NA 11.2879055909492
2017-06-12 06:00:00 6.94903562719358 NA NA 12.1105651956548
2017-06-12 07:00:00 9.0335792168252 NA NA 8.06418892422702
2017-06-12 08:00:00 11.9110543229284 NA NA 13.429852188342
2017-06-12 09:00:00 12.3614108352267 NA NA 9.26591532753637
2017-06-12 10:00:00 14.1836817786337 NA NA 14.4243296725958
2017-06-12 11:00:00 16.6784459075196 NA NA 14.2435622456585
2017-06-12 12:00:00 16.5953423564549 NA NA 14.705465341856
2017-06-12 13:00:00 20.3585439167189 NA NA 8.69946030192361
2017-06-12 14:00:00 15.1298902086118 NA NA 10.8664635662496
2017-06-12 15:00:00 15.0381921636293 NA NA 9.91716351053513
2017-06-12 16:00:00 20.522068845335 NA NA 7.920808646684
2017-06-12 17:00:00 18.6630475366931 NA NA 8.82133105264655
2017-06-12 18:00:00 17.9355233499741 NA NA 8.81187356094928
2017-06-12 19:00:00 14.0618316791692 NA NA 8.44927715984898
2017-06-12 20:00:00 9.75986543741944 NA NA 7.60558572201064
2017-06-12 21:00:00 7.17272851788977 NA NA 9.15209742116848
2017-06-12 22:00:00 8.70801038282574 NA NA 11.9251640846896
2017-06-12 23:00:00 5.92927720990339 NA NA 7.20872373736264
2017-06-13 00:00:00 7.75776584187803 NA NA 9.60770675133829
2017-06-13 01:00:00 7.53078975013358 NA NA 9.1890069096095
